message_id,action,message_type,reason,confidence,evidence_message_ids
msg_023,digest,payment,"Classified as payment; matches the user's recent activity with this business, so the message should wait for a digest.",0.77,message_0243;message_0102
msg_091,mute,scam,Message uses urgent verification/account-block/payment-pressure language (first/rare contact from this sender); routed as a likely scam regardless of the user's usual engagement.,0.87,message_0238;message_0381
msg_090,digest,unknown,"Classified as unknown; no strong urgency, risk, or repetition signal found; treated as routine content, so the message should wait for a digest.",0.55,none
msg_048,mute,scam,Message uses urgent verification/account-block/payment-pressure language (first/rare contact from this sender); routed as a likely scam regardless of the user's usual engagement.,0.87,message_0151;message_0152
msg_040,mute,forward,"Classified as forward; directly @-mentions this user and similar past messages from this sender were dismissed/muted/reported, so the message should be suppressed.",0.93,message_0136;message_0135
msg_075,digest,event,"Classified as event; matches the user's recent activity with this business, so the message should wait for a digest.",0.71,message_0206;message_0205
msg_005,notify,promotion,"Classified as promotion; contains urgent/time-sensitive language, so the message should interrupt the user now.",0.79,message_0065;message_0382
msg_104,mute,urgent,"Classified as urgent; contains urgent/time-sensitive language and similar past messages from this sender were dismissed/muted/reported, so the message should be suppressed.",0.91,message_0383;message_0115
msg_069,mute,greeting,"Classified as greeting; similar past messages from this sender were dismissed/muted/reported and the user has muted this group and is not directly addressed, so the message should be suppressed.",0.93,message_0194;message_0193
msg_107,mute,scam,The message embeds instructions trying to manipulate the routing decision (e.g. asking to force notify/confidence); the router ignores those instructions and treats the underlying content as a scam attempt.,0.90,message_0213;message_0056
msg_070,mute,scam,Message uses urgent verification/account-block/payment-pressure language (classic OTP/verification/prize-claim pressure language); routed as a likely scam regardless of the user's usual engagement.,0.87,message_0369;message_0213
msg_003,notify,business_update,"Classified as business_update; matches a recent order/payment/booking relationship with this business and needs action soon, so the message should interrupt the user now.",0.79,message_0031;message_0400
msg_099,digest,personal,"Classified as personal; from a contact the user usually engages with, so the message should wait for a digest.",0.71,message_0227;message_0249
msg_008,digest,business_update,"Classified as business_update; matches the user's recent activity with this business and arrives during the user's quiet hours, so the message should wait for a digest.",0.67,message_0296;message_0072
msg_092,digest,payment,"Classified as payment; no strong urgency, risk, or repetition signal found; treated as routine content, so the message should wait for a digest.",0.65,none
msg_060,digest,promotion,"Classified as promotion; sent by a group admin, so the message should wait for a digest.",0.69,message_0176;message_0284
msg_004,notify,event,"Classified as event; matches a recent order/payment/booking relationship with this business and needs action soon, so the message should interrupt the user now.",0.79,message_0245;message_0005
msg_030,mute,promotion,"Classified as promotion; similar past messages from this sender were dismissed/muted/reported and the user has muted this group and is not directly addressed, so the message should be suppressed.",0.93,message_0115;message_0335
msg_045,notify,urgent,"Classified as urgent; contains urgent/time-sensitive language, so the message should interrupt the user now.",0.79,message_0146;message_0145
msg_052,mute,spam,"Sender is an unverified business account with a much higher recent user-report rate than comparable senders; muted as likely spam regardless of the user's usual engagement, since the content itself can't be fully verified as safe.",0.80,message_0208;message_0207
msg_009,mute,personal,"Classified as personal; the user has muted this group and is not directly addressed, so the message should be suppressed.",0.83,message_0074;message_0073
msg_071,digest,personal,"Classified as personal; no strong urgency, risk, or repetition signal found; treated as routine content, so the message should wait for a digest.",0.65,message_0197;message_0198
msg_016,mute,scam,Message uses urgent verification/account-block/payment-pressure language (first/rare contact from this sender); routed as a likely scam regardless of the user's usual engagement.,0.87,message_0024;message_0087
msg_065,digest,promotion,"Classified as promotion; no strong urgency, risk, or repetition signal found; treated as routine content, so the message should wait for a digest.",0.65,message_0261;message_0185
msg_038,mute,urgent,"Classified as urgent; contains urgent/time-sensitive language and similar past messages from this sender were dismissed/muted/reported, so the message should be suppressed.",0.91,message_0131;message_0132
msg_086,digest,business_update,"Classified as business_update; matches the user's recent activity with this business, so the message should wait for a digest.",0.71,message_0222
msg_014,mute,promotion,"Classified as promotion; similar past messages from this sender were dismissed/muted/reported and the user has opted out of promotions from this business, so the message should be suppressed.",0.93,message_0017;message_0258
msg_094,digest,promotion,"Classified as promotion; no strong urgency, risk, or repetition signal found; treated as routine content, so the message should wait for a digest.",0.65,none
msg_029,digest,promotion,"Classified as promotion; no strong urgency, risk, or repetition signal found; treated as routine content, so the message should wait for a digest.",0.65,message_0113;message_0332
msg_105,mute,forward,"Classified as forward; similar past messages from this sender were dismissed/muted/reported and a widely-forwarded low-content chain message, so the message should be suppressed.",0.93,message_0233;message_0373
msg_002,notify,personal,"Classified as personal; directly @-mentions this user and sent by a group admin, so the message should interrupt the user now.",0.87,message_0371;message_0169
msg_010,digest,business_update,"Classified as business_update; matches the user's recent activity with this business, so the message should wait for a digest.",0.71,message_0011;message_0242
msg_078,mute,promotion,"Classified as promotion; contains urgent/time-sensitive language and similar past messages from this sender were dismissed/muted/reported, so the message should be suppressed.",0.93,message_0211;message_0212
msg_013,mute,promotion,"Classified as promotion; similar past messages from this sender were dismissed/muted/reported, so the message should be suppressed.",0.93,message_0081;message_0082
msg_018,mute,forward,"Classified as forward; similar past messages from this sender were dismissed/muted/reported and a widely-forwarded low-content chain message, so the message should be suppressed.",0.93,message_0092;message_0091
msg_044,mute,scam,Message uses urgent verification/account-block/payment-pressure language (first/rare contact from this sender); routed as a likely scam regardless of the user's usual engagement.,0.87,message_0036;message_0143
msg_032,digest,personal,"Classified as personal; no strong urgency, risk, or repetition signal found; treated as routine content, so the message should wait for a digest.",0.65,message_0119;message_0374
msg_106,notify,urgent,"Classified as urgent; contains urgent/time-sensitive language and from a contact the user usually engages with, so the message should interrupt the user now.",0.85,message_0234;message_0376
msg_006,digest,personal,"Classified as personal; sent by a group admin, so the message should wait for a digest.",0.69,message_0029;message_0067
msg_109,mute,scam,Message uses urgent verification/account-block/payment-pressure language (first/rare contact from this sender); routed as a likely scam regardless of the user's usual engagement.,0.75,message_0151;message_0152
